       1.028179315472e-05       5.277882996215e+01 
       2.292599002822e-05       1.139683128508e+02 
       3.561309799842e-05       1.739427590731e+02 
       4.837600688297e-05       2.333963519141e+02 
       6.124813137418e-05       2.927136232030e+02 
       7.426369817657e-05       3.521762251468e+02 
       8.745804201230e-05       4.120206583981e+02 
       1.008679142989e-04       4.724617129227e+02 
       1.145318083334e-04       5.337043495511e+02 
       1.284903048485e-04       5.959507410345e+02 
       1.427864418191e-04       6.594050560984e+02 
       1.574661123570e-04       7.242770799055e+02 
       1.725784943977e-04       7.907852218141e+02 
       1.881765156003e-04       8.591592139359e+02 
       2.043173563677e-04       9.296426310830e+02 
       2.210629930464e-04       1.002495370510e+03 
       2.384807820571e-04       1.077996087093e+03 
       2.566440837522e-04       1.156444666806e+03 
       2.756329219908e-04       1.238164679853e+03 
       2.955346714884e-04       1.323505808905e+03 
       3.164447596467e-04       1.412846183524e+03 
       3.384673624431e-04       1.506594529986e+03 
       3.617160647486e-04       1.605191992639e+03 
       3.863144438684e-04       1.709113447697e+03 
       4.123965210978e-04       1.818868055728e+03 
       4.401070098956e-04       1.934998773136e+03 
       4.696012717509e-04       2.058080406100e+03 
       5.010448736329e-04       2.188715850793e+03 
       5.346126269417e-04       2.327530004128e+03 
       5.704869813854e-04       2.475160904122e+03 
       6.088556538729e-04       2.632247729237e+03 
       6.499083989326e-04       2.799415386781e+03 
       6.938328796565e-04       2.977255719962e+03 
       7.408096805907e-04       3.166305730261e+03 
       7.910066148743e-04       3.367023628139e+03 
       8.445726074669e-04       3.579764138314e+03 
       9.016315647362e-04       3.804754915048e+03 
       9.622767396747e-04       4.042076194817e+03 
       1.026566140493e-03       4.291646003946e+03 
       1.094519484090e-03       4.553212872026e+03 
       1.166117058233e-03       4.826357225163e+03 
       1.241300644580e-03       5.110498262774e+03 
       1.319976408804e-03       5.404877022936e+03 
       1.402019435224e-03       5.708704942645e+03 
       1.487279418040e-03       6.021065945784e+03 
       1.575586946835e-03       6.340988754187e+03 
       1.666759842488e-03       6.667475783075e+03 
       1.760609090937e-03       6.999528863163e+03 
       1.856944054478e-03       7.336170981602e+03 
       1.955576780995e-03       7.676463507968e+03 
       2.056325356044e-03       8.019519230158e+03 
       2.159016337303e-03       8.364510142888e+03 
       2.263486372015e-03       8.710673018716e+03 
       2.369583129143e-03       9.057311419723e+03 
       2.477165685933e-03       9.403794237936e+03 
       2.586104501166e-03       9.749554552639e+03 
       2.696281091222e-03       1.009408500835e+04 
       2.807587505386e-03       1.043693552702e+04 
       2.919925676811e-03       1.077770801170e+04 
       3.033206707392e-03       1.111605142165e+04 
       3.147350129201e-03       1.145166215952e+04 
       3.262283172522e-03       1.178426775570e+04 
       3.377940060585e-03       1.211363738522e+04 
       3.494261343633e-03       1.243956736946e+04 
       3.611193279403e-03       1.276188221046e+04 
       3.728687263213e-03       1.308043222911e+04 
       3.846699308090e-03       1.339509245310e+04 
       3.965189573597e-03       1.370575243302e+04 
       4.084121940879e-03       1.401231723239e+04 
       4.203463630817e-03       1.431471736444e+04 
       4.323184861834e-03       1.461288290012e+04 
       4.443258543850e-03       1.490676907380e+04 
       4.563660004945e-03       1.519633792283e+04 
       4.684366747425e-03       1.548152642817e+04 
       4.805358230246e-03       1.576234892401e+04 
       4.926615674966e-03       1.603880001924e+04 
       5.048121892650e-03       1.631084603923e+04 
       5.169861129428e-03       1.657850699349e+04 
       5.291818928595e-03       1.684184374058e+04 
       5.413982007425e-03       1.710078785604e+04 
       5.536338147017e-03       1.735533002662e+04 
       5.658876093722e-03       1.760499512648e+04 
       5.781585470837e-03       1.785083256638e+04 
       5.904456699417e-03       1.809237601003e+04 
       6.027480927191e-03       1.832939698795e+04 
       6.150649964673e-03       1.856252379229e+04 
       6.273956227680e-03       1.879121205554e+04 
       6.397392685552e-03       1.901552567941e+04 
       6.520952814450e-03       1.923597648021e+04 
       6.644630555191e-03       1.945228673967e+04 
       6.768420275128e-03       1.966431276591e+04 
       6.892316733647e-03       1.987275755828e+04 
       7.016315050906e-03       2.007693659830e+04 
       7.140410679467e-03       2.027660084820e+04 
       7.264599378539e-03       2.047325977131e+04 
       7.388877190554e-03       2.066566515545e+04 
       7.513240419840e-03       2.085399132989e+04 
       7.637685613185e-03       2.103844115856e+04 
       7.762209542114e-03       2.121880461193e+04 
       7.886809186690e-03       2.139588496356e+04 
       8.011481720711e-03       2.156891711224e+04 
       8.136224498160e-03       2.173839372162e+04 
       8.261035040793e-03       2.190498590008e+04 
       8.385911026751e-03       2.206716756296e+04 
       8.510850280118e-03       2.222574880123e+04 
       8.635850761312e-03       2.238077984755e+04 
       8.760910558265e-03       2.253236800827e+04 
       8.886027878291e-03       2.268040483623e+04 
       9.011201040600e-03       2.282396884202e+04 
       9.136428469401e-03       2.296612029606e+04 
       9.261708687531e-03       2.310403521010e+04 
       9.387040310571e-03       2.323859738916e+04 
       9.512422041418e-03       2.336981002022e+04 
       9.637852665256e-03       2.349686298318e+04 
       9.763331044904e-03       2.362242500468e+04 
       9.888856116510e-03       2.374310152464e+04 
       1.001442688557e-02       2.386238865427e+04 
       1.014004242320e-02       2.397772639154e+04 
       1.026570186274e-02       2.408993443571e+04 
       1.039140439656e-02       2.419906262970e+04 
       1.051714927307e-02       2.430429745064e+04 
       1.064293579402e-02       2.440840510600e+04 
       1.076876331191e-02       2.450875541685e+04 
       1.089463122763e-02       2.460506776944e+04 
       1.102053898828e-02       2.469927112678e+04 
       1.114648608504e-02       2.479139045693e+04 
       1.127247205135e-02       2.487985297496e+04 
